newNames,biasWithoutSum,biasWithoutSum_zscore,partyDummy,genderDummy,jobDummy,age_zscore,monthlyEdit_zscore,pageviews,editors,assessValue,characters,words,unique_references,links_out_count,links_in_count,assessValueDummy,outLink_zscore,inLink_zscore,unique_references_zscore,words_zscore,characters_zscore,editors_zscore,pageviews_zscore,gini_index,gini_zscore,wordHuman_zscore
Chuck_Grassley,-0.4421768707482993,0.2922968339588532,1,1,1,2.2705859057733133,0.5765900446161909,41643,939,C,35673,5569,183,968.0,1376.0,0,1.4876894171882704,1.471996682328044,1.5917144352693475,1.7026500331748324,1.760029793460513,1.5763805356958474,1.2758698645874031,0.44036501362108404,-0.3461717297078108,-0.3153714301139482
Mitch_McConnell,-0.6373626373626373,-0.2865482635638256,1,1,1,1.5606716318994054,2.9282919240639247,49461,1937,B,40528,6312,239,1258.0,2725.0,1,2.5061494099832986,4.1482235735288,2.4332939335594013,2.076332114463171,2.149129929592588,4.312472494627233,1.589071649703333,0.5637548483341621,1.3596918594495657,1.0509874136155155
Dianne_Feinstein,-0.5929203539823009,-0.154749729768833,0,0,1,2.2705859057733133,0.9376621560667632,65884,1942,B,35026,5472,212,1158.0,2025.0,1,2.154956309019496,2.7595217026314467,2.0275323897409825,1.6538651584978892,1.7081764900460017,4.326180370172981,2.2470037188973624,0.5084762206721624,0.595465224358705,0.786340553332472
Patty_Murray,-0.8148148148148148,-0.8128024302719628,0,0,1,0.929636721789265,-0.103631948116535,19482,716,C,20727,3287,85,660.0,1188.0,0,0.4060146662197578,1.0990310370013263,0.1189503132617535,0.5549481361358166,0.5621944413225125,0.9650092863554676,0.3880641905078268,0.42288003258877044,-0.5879014683810873,-0.1597462570880987
Ron_Wyden,-0.803030303030303,-0.7778541500183052,0,1,1,1.0085160855530326,-0.1401448582632221,9819,655,B,45406,7235,170,862.0,1123.0,1,1.1154247301666396,0.9700801489894292,1.3963477660234422,2.540542829172641,2.5400733825384707,0.7977732046973368,0.0009487070625426,0.434123448071333,-0.43246132913403335,-0.1142483352300801
Dick_Durbin,-0.6635514018691588,-0.3642139571629323,0,1,1,1.4029129043718704,0.5711807245944596,20645,1333,B,39796,6243,147,800.0,1284.0,1,0.8976850075690818,1.2894815792958203,1.0506990435114558,2.041629471651737,2.0904643683879165,2.6565611287008237,0.434655860511642,0.43394935543278085,-0.4348681586264065,1.0434148429521115
Jack_Reed,-0.9310344827586208,-1.157464780359758,0,1,1,1.0085160855530326,-0.3970875592954646,8098,435,C,12704,2043,38,481.0,526.0,0,-0.2226209845054491,-0.2142841609044559,-0.5873753370888273,-0.0707053081746722,-0.0808025498592871,0.1946266806844061,-0.0679973497530771,0.3520900027439861,-1.5665731285578268,-0.1989833556393237
Susan_Collins,-0.8514851485148515,-0.9215523829707558,1,0,1,0.77187799426173,1.7098425891689233,15433,1268,C,46607,7392,261,659.0,1100.0,0,0.4025027352101198,0.9244513732313734,2.7639144507447795,2.619503914989962,2.636326577902965,2.478358746606093,0.2258546704343553,0.525620015048909,0.8324780599403169,1.3719173465077812
Chuck_Schumer,-0.6510638297872341,-0.3271806734098934,0,1,1,0.929636721789265,1.4109776579682622,55734,1770,B,72688,11556,296,1681.0,2512.0,1,3.991696227060185,3.725661432812891,3.289901637176063,4.713732968132145,4.726567700551914,3.854629451399236,1.8403782240231368,0.470112277019937,0.06508397565216052,0.395073389545426
Mike_Crapo,-0.7777777777777778,-0.702964978046182,1,1,1,0.8507573580254976,-0.2740255288010747,5463,554,Start,10648,1761,51,467.0,580.0,0,-0.2717880186403815,-0.107155730863803,-0.3920086678429219,-0.2125335005344455,-0.2455790441718609,0.5208741186732186,-0.1735597319199325,0.3897482719055215,-1.0459478246765939,-0.4942032968550967
Tom_Carper,-0.6888888888888889,-0.4393550927043078,0,1,1,1.1662748130805678,-0.2375126186543876,14623,574,B,22010,3514,64,661.0,889.0,1,0.4095265972293959,0.5058569521465999,-0.1966419985970166,0.6691148016169106,0.6650194618492792,0.5757056208562124,0.1934047540946388,0.4711959032145851,0.08006510010220728,-0.3191718616605899
Debbie_Stabenow,-0.6428571428571429,-0.3028428306522659,0,0,1,0.929636721789265,-0.1090412681382664,12237,676,B,28688,4462,142,1210.0,1212.0,1,2.3375767215206733,1.1466436725749498,0.9755580168784154,1.1458989376348716,1.2002224915279602,0.8553462819894802,0.0978177165803629,0.4326069324681977,-0.4534271465840131,-0.2583715281010303
Maria_Cantwell,-0.6470588235294118,-0.3153033819551906,0,0,1,0.2986018116791247,-0.2091136885402977,9395,720,B,24546,3800,126,584.0,730.0,1,0.1391079094872677,0.190423241471344,0.7351067316526858,0.8129547413860424,0.8682651766239325,0.9759755867920664,-0.01603742198442,0.45656668028496733,-0.12218380306984739,1.4154789664788805
